,logFC,AveExpr,t,P.Value,adj.P.Val,B
AC026336.4,1.53600275416259,-4.58864978263043,4.40705031749229,1.17769191898696e-05,7.11048233899899e-05,2.44913272500966
AC087269.1,1.38457963837141,-3.31124914993021,4.39874372037123,1.2226573965846e-05,7.36489496764257e-05,2.41355337932687
AC012354.7,1.17323372542068,-4.91687588605263,4.39759417435054,1.22900794902983e-05,7.3982599353056e-05,2.40863462796007
PGAM1P7,1.1299894238469,-3.63107156566362,4.39648044518851,1.23519069963634e-05,7.43220630545759e-05,2.40387030492614
AL662899.3,1.15200150417784,-5.25653644060641,4.3956801685378,1.23965169739288e-05,7.4574075658715e-05,2.4004475852716
TSPEAR,1.34404082114161,-0.654330883918764,4.39384491999503,1.24994018783376e-05,7.5176466432337e-05,2.39260062377264
LINC02474,1.96938346741066,-3.2512384698627,4.39365413268743,1.251014421896e-05,7.52328024250708e-05,2.3917850554666
CDX1,2.27657084129131,5.12928294076087,4.3935775519174,1.25144586053368e-05,7.52504742105205e-05,2.39145770124255
AC122108.3,1.06099862627698,-4.58549495056064,4.38547837436365,1.2978865278538e-05,7.78461494034034e-05,2.3568675551263
LINC02182,1.05087508946687,-5.11198806787414,4.38528298927054,1.29902696027543e-05,7.79060083248517e-05,2.35603385444911
CCL26,1.11045269359028,-1.00295089914989,4.38191694401448,1.31882505673094e-05,7.89807691644573e-05,2.34167664897835
CALHM3,1.41465529990348,-3.51069852187643,4.38171133621693,1.32004368011485e-05,7.90450942455463e-05,2.34080001111144
AC092375.1,1.09423779263738,-3.77143515781465,4.37769722774049,1.34405171840377e-05,8.03683270341034e-05,2.32369317843196
TOMM40P2,1.10843676905086,-2.8454130767849,4.36900680942118,1.39746582866656e-05,8.32890852118527e-05,2.28670883014532
H19,1.52591123279802,3.7119537626087,4.36796691588928,1.40399156294416e-05,8.36324532076135e-05,2.28228800297985
ASS1P4,1.12336661669327,-5.00901839120595,4.36681622294105,1.41124653648971e-05,8.40188628641609e-05,2.27739731585903
F2,1.41887544837221,-2.49696312164073,4.36664867704785,1.41230587464717e-05,8.40727795100427e-05,2.27668531342496
AP006748.1,1.4641280303052,-3.2738379744508,4.36628756654046,1.41459164261876e-05,8.41905221904604e-05,2.27515082840133
RP1,1.34402461801937,-3.49435741890389,4.36462388666472,1.42516818002407e-05,8.47830907183128e-05,2.26808283879793
AC026336.2,1.24905582497162,-4.82805868149886,4.36288050478855,1.43633245069088e-05,8.5363689438811e-05,2.26067900913982
AL161636.2,1.04121746167145,-3.41957838312357,4.35588393121935,1.48198327742725e-05,8.78253302633929e-05,2.2309943017961
POU3F2,1.06723410605428,-3.74685326050343,4.34917111915397,1.52708297767683e-05,9.02472214630299e-05,2.20255639719708
SH3PXD2A.AS1,1.22370112594452,0.86295518919508,4.34844710316931,1.53202481650038e-05,9.05197119352798e-05,2.19949171191763
HOXC12,2.09306991447267,-3.74581980071053,4.34439610837994,1.55995828597323e-05,9.20210509612873e-05,2.18235328116687
PPP1R1B,1.63394546247144,6.96186808125858,4.3442446431099,1.56101208390081e-05,9.20732836503339e-05,2.18171277790346
AC108134.3,1.12060848272146,0.0351732433878719,4.34145752064695,1.58052486154943e-05,9.31338152364213e-05,2.16993065199219
LINC01511,1.39706805499704,-4.00811476075057,4.34044611752615,1.58766316816812e-05,9.35242186138452e-05,2.16565689346196
FIBCD1,1.82385199958844,1.12184691801602,4.33641745426409,1.61640348225692e-05,9.51068291367307e-05,2.14864294366023
S100P,1.25100491118907,6.93534924975973,4.3362659913262,1.61749364319635e-05,9.51450149927561e-05,2.14800357677669
ERN2,1.28745871300063,5.51358872693936,4.33396228668205,1.63416144163973e-05,9.6025419048652e-05,2.13828163994971
AC079466.1,1.69742161321453,-3.91143832310984,4.32919778469967,1.66915541493714e-05,9.79239037005116e-05,2.11819051415965
SNORD48,1.10883579589024,-5.1819079669611,4.32891506542583,1.67125423904665e-05,9.80141697480513e-05,2.11699899849052
SNRPCP2,1.08864589516697,-3.70493381494279,4.3279835050317,1.67818770944348e-05,9.83799322272362e-05,2.11307348014452
SYNPR.AS1,1.2065329551897,-1.2436291581286,4.32771887299723,1.68016233060099e-05,9.84699763733598e-05,2.11195849026406
AHSG,1.53076903864498,-3.68542866073112,4.32612711794508,1.69208650271266e-05,9.91097357741155e-05,2.10525323188652
RBAKDN,1.01281306630846,-4.88349319118993,4.31939815387833,1.74339307989215e-05,0.000101885761838553,2.07693362086257
KRT87P,1.13442736633902,-3.04787816617849,4.31905171359364,1.74607439005793e-05,0.000102031558508781,2.07547673062575
TRPM5,1.37968995811082,-0.294287230489817,4.31756048333763,1.75766092080788e-05,0.0001026209052771,2.06920691700166
AC124319.1,1.04677006384221,-1.12614932243707,4.31510012627863,1.77693792808279e-05,0.000103657871135333,2.05886698592112
IGHG4,1.62001681864728,5.80210705831236,4.312060410141,1.80103295963784e-05,0.000104985076976864,2.04610003056931
CDH17,1.83644817021061,7.32545172021281,4.30858248297836,1.8289840353597e-05,0.000106534911410009,2.03150314187054
LINC01124,1.21306575943654,0.202937255290618,4.30765045106999,1.83654454269326e-05,0.000106963905614533,2.02759331383944
