,logFC,AveExpr,t,P.Value,adj.P.Val,B
LINC00891,-1.51297703543056,-4.12327502708238,-6.11542071992746,1.44906787854733e-09,1.63517160340718e-08,11.1055398661588
NR3C1,-1.22602899497782,4.2871054174714,-6.11304249256812,1.4699396166378e-09,1.65564965675462e-08,11.0916744261435
HDC,-1.53029698644339,-0.329542651639588,-6.11174755318187,1.48142734825898e-09,1.66824518865606e-08,11.0841268066191
GPIHBP1,-1.53105178932673,-1.3641313841762,-6.11161231513437,1.48263212162e-09,1.66925821103347e-08,11.0833386494631
IGKV1OR.3,-1.4352506118562,-5.11655549356316,-6.10174665811135,1.57314934766295e-09,1.76862083392447e-08,11.0258855192371
SNTG2,-1.63715250263875,-3.57189308787872,-6.10032789415844,1.58660240114514e-09,1.7815483130904e-08,11.0176302858693
APOC3,-2.71428178693907,-4.08312419576659,-6.09366011474506,1.65134691896553e-09,1.85044908282769e-08,10.9788566861023
BNC2.AS1,-1.37589842719634,-3.99671845442563,-6.09166207022092,1.67124529864179e-09,1.87233180360152e-08,10.9672454996554
RTL5,-1.2367591653168,1.27000560391533,-6.08431710710214,1.7464249379041e-09,1.95418805193668e-08,10.9245919510845
LPP,-1.11443738999839,7.52125953203661,-6.08271359075282,1.76327152776033e-09,1.97223182435279e-08,10.9152863223158
MLIP,-1.52286119941569,-3.15983336471053,-6.08167571394443,1.7742599405693e-09,1.98330569077126e-08,10.909264450077
AC026391.1,-1.06451354413624,-5.86658373501144,-6.07977380785223,1.79456989831919e-09,2.0033253427425e-08,10.8982318369731
LINC01018,-2.05915073838554,-3.31727190882151,-6.07358574888513,1.86223324510716e-09,2.07612815615851e-08,10.8623579606497
PHOX2B,-1.85992512217153,-4.61201363646453,-6.07030381866788,1.89912353081178e-09,2.11380874069496e-08,10.8433453299762
INSYN1,-1.45216363350665,-0.114001593326087,-6.06892036086454,1.91488700743682e-09,2.13048708038562e-08,10.8353336153603
PLAC9P1,-1.25137240274171,-5.23528406578947,-6.06814685321856,1.92375613720394e-09,2.13991950222432e-08,10.8308549021065
GPRASP1,-1.17844363599991,1.71862584617162,-6.0676809935,1.92911707026828e-09,2.14501033052091e-08,10.8281577647881
OMG,-1.42725079293436,-1.4865098449508,-6.06740195189638,1.93233515210575e-09,2.14815185252895e-08,10.8265423190926
KCNJ16,-2.25516785292117,-2.57318638650458,-6.06635068967704,1.94450608085219e-09,2.15992607823336e-08,10.820456896903
SGK1,-1.01313137326776,5.60346074942792,-6.06303251977469,1.98341479890999e-09,2.20091037586492e-08,10.8012554238894
AC005180.1,-1.66179217945901,-3.86186577652174,-6.06237868961151,1.99117069668369e-09,2.20906858529644e-08,10.7974730002315
RGS9,-1.2350912420635,-0.108231572994279,-6.05662702836989,2.06068603150421e-09,2.28156320836281e-08,10.7642156517873
SCIN,-1.43943886632717,3.11526228237071,-6.05290733386539,2.10689792783457e-09,2.330369710069e-08,10.7427230237219
TMEM151B,-1.30739294449268,-2.7647300339611,-6.05228285849465,2.11475465122641e-09,2.33858685096701e-08,10.7391159556874
BVES,-1.50427554483743,1.23320705067391,-6.05195885866164,2.11884225376134e-09,2.34216000544617e-08,10.7372446164431
PAK5,-1.97350718212569,-4.38723254384783,-6.05051398454597,2.13716492830957e-09,2.36145930815943e-08,10.7289005182666
MT.TP,-1.32221141796705,6.49527714874142,-6.04971057251155,2.14741991540782e-09,2.3713533671155e-08,10.724261633807
GFRA4,-1.15293083350953,-5.83639928615561,-6.04750371305781,2.17583664683068e-09,2.40176358018978e-08,10.7115221871998
AL731557.1,-1.20346536112886,-5.25835731395881,-6.04733429648713,2.17803325012763e-09,2.4037031601237e-08,10.7105443797538
F13A1,-1.69347608262795,3.06936842200229,-6.03692896297596,2.31717461336865e-09,2.54903188813754e-08,10.6505370662726
KCNS2,-1.62181264484961,-3.18666965852517,-6.0328886025617,2.37350876784586e-09,2.60785580669605e-08,10.6272620170492
PHOX2A,-1.72646329106933,-4.44687669871854,-6.03157058530419,2.39217309132047e-09,2.62783505181307e-08,10.6196724982863
SPINK2,-1.77642152113545,-3.27914605513075,-6.03001387835275,2.41440197257369e-09,2.65118883537277e-08,10.6107105008206
NPAS3,-1.59895632527477,-1.21509784872323,-6.02747501901715,2.45108849673419e-09,2.6876961774033e-08,10.5960987946661
AP001267.3,-1.21236211696732,-2.40761101457447,-6.02583903119682,2.47501607224404e-09,2.71121578352469e-08,10.5866863158045
LINC00671,-1.38586778418289,-4.26952973522883,-6.02365077924133,2.507377488532e-09,2.74556580050567e-08,10.57410011956
SEMA3D,-1.99239560286298,-0.407549759561785,-6.02223532355784,2.52852973319119e-09,2.76651197753335e-08,10.5659610652853
BEX4,-1.16501417225974,2.63789835175515,-6.02148150632838,2.53986554531922e-09,2.77724802081637e-08,10.5616272362969
STMN4,-1.52687578127075,-4.48098599538215,-6.02113548196749,2.54508560604694e-09,2.78239970463197e-08,10.5596380479934
STK32B,-1.29786041489971,0.0188864277173913,-6.02102010193991,2.5468285339932e-09,2.78374873434768e-08,10.5589747868562
NR3C2,-1.14562051088433,3.78622331371854,-6.01859258063067,2.58376976239928e-09,2.82243433501954e-08,10.5450229117545
APOA4,-3.19792515607088,-3.681710048254,-6.01837835939881,2.58705469853947e-09,2.82489432494742e-08,10.5437919505758
PRICKLE2,-1.23586226193055,2.72192287064989,-6.01633116569681,2.61865323282423e-09,2.8571162690868e-08,10.5320303696407
TNNT3,-1.67463018824797,-3.5574583125286,-6.01495677713474,2.64007789392136e-09,2.87704842414881e-08,10.524136268816
LRRTM2,-1.37752358754322,-1.17147286425149,-6.01464449871353,2.64496963570983e-09,2.88123111382492e-08,10.5223428608884
